2020-04-27 12:04:887 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:501 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:200 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:351 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 12:04:245 INFO  LoginPage :46 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (48a005e903f2cead3512a418bc962230)] -> xpath: //input[@id='username-input']]
2020-04-27 12:04:430 INFO  LoginPage :52 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (48a005e903f2cead3512a418bc962230)] -> xpath: //input[@id='password-input']]
2020-04-27 12:04:349 INFO  LoginPage :59 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (48a005e903f2cead3512a418bc962230)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 12:04:386 INFO  LoginPage :64 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (48a005e903f2cead3512a418bc962230)] -> xpath: //span[@id='password.errors']]
2020-04-27 12:04:538 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:245 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 12:04:501 INFO  LoginPage :46 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (5b44b446c25a476be973d30f91948195)] -> xpath: //input[@id='username-input']]
2020-04-27 12:04:707 INFO  LoginPage :52 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (5b44b446c25a476be973d30f91948195)] -> xpath: //input[@id='password-input']]
2020-04-27 12:04:576 INFO  LoginPage :59 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (5b44b446c25a476be973d30f91948195)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 12:04:612 INFO  LoginPage :64 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (5b44b446c25a476be973d30f91948195)] -> xpath: //span[@id='password.errors']]
2020-04-27 12:04:642 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:19 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 12:04:232 INFO  LoginPage :46 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (2971c7c93024a60124705aa0a051a0d9)] -> xpath: //input[@id='username-input']]
2020-04-27 12:04:377 INFO  LoginPage :52 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (2971c7c93024a60124705aa0a051a0d9)] -> xpath: //input[@id='password-input']]
2020-04-27 12:04:941 INFO  LoginPage :59 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (2971c7c93024a60124705aa0a051a0d9)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 12:04:989 INFO  LoginPage :64 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (2971c7c93024a60124705aa0a051a0d9)] -> xpath: //span[@id='password.errors']]
2020-04-27 12:04:168 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:381 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:214 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 12:04:440 INFO  LoginPage :46 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (bdf48957c31bb0073fe13d80fd7fc764)] -> xpath: //input[@id='username-input']]
2020-04-27 12:04:641 INFO  LoginPage :52 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (bdf48957c31bb0073fe13d80fd7fc764)] -> xpath: //input[@id='password-input']]
2020-04-27 12:04:122 INFO  LoginPage :59 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (bdf48957c31bb0073fe13d80fd7fc764)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 12:04:267 INFO  LoginPage :64 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (bdf48957c31bb0073fe13d80fd7fc764)] -> xpath: //span[@id='password.errors']]
2020-04-27 12:04:505 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 12:04:454 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 12:04:696 INFO  LoginPage :46 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (025f4d1aed2cfe887ec75be6812cc4eb)] -> xpath: //input[@id='username-input']]
2020-04-27 12:04:873 INFO  LoginPage :52 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (025f4d1aed2cfe887ec75be6812cc4eb)] -> xpath: //input[@id='password-input']]
2020-04-27 12:04:205 INFO  LoginPage :59 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (025f4d1aed2cfe887ec75be6812cc4eb)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 12:04:238 INFO  LoginPage :64 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (025f4d1aed2cfe887ec75be6812cc4eb)] -> xpath: //span[@id='password.errors']]
2020-04-27 12:04:796 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 13:04:840 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 13:04:707 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 13:04:990 INFO  LoginPage :64 - Getting Login Text [[ChromeDriver: chrome on WINDOWS (ead0f43dbb498d7055e8ad8e7a7cb925)] -> xpath: //h2[contains(text(),'Log in')]]
2020-04-27 13:04:345 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 13:04:594 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 13:04:319 INFO  LoginPage :48 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (8a5c3ae413b82c68cb3e73909b3c3d75)] -> xpath: //input[@id='username-input']]
2020-04-27 13:04:559 INFO  LoginPage :54 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (8a5c3ae413b82c68cb3e73909b3c3d75)] -> xpath: //input[@id='password-input']]
2020-04-27 13:04:796 INFO  LoginPage :60 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (8a5c3ae413b82c68cb3e73909b3c3d75)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 13:04:837 INFO  LoginPage :70 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (8a5c3ae413b82c68cb3e73909b3c3d75)] -> xpath: //span[@id='password.errors']]
2020-04-27 13:04:308 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 13:04:929 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 13:04:154 INFO  LoginPage :48 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (8989f48a1366e0ef55b4632a44f8661e)] -> xpath: //input[@id='username-input']]
2020-04-27 13:04:332 INFO  LoginPage :54 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (8989f48a1366e0ef55b4632a44f8661e)] -> xpath: //input[@id='password-input']]
2020-04-27 13:04:768 INFO  LoginPage :60 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (8989f48a1366e0ef55b4632a44f8661e)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 13:04:802 INFO  LoginPage :70 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (8989f48a1366e0ef55b4632a44f8661e)] -> xpath: //span[@id='password.errors']]
2020-04-27 13:04:336 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 13:04:486 INFO  HomePage :30 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 13:04:705 INFO  LoginPage :48 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (2e902156582f74a836b4bd31ce55bcd8)] -> xpath: //input[@id='username-input']]
2020-04-27 13:04:949 INFO  LoginPage :54 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (2e902156582f74a836b4bd31ce55bcd8)] -> xpath: //input[@id='password-input']]
2020-04-27 13:04:871 INFO  LoginPage :60 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (2e902156582f74a836b4bd31ce55bcd8)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 13:04:902 INFO  LoginPage :70 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (2e902156582f74a836b4bd31ce55bcd8)] -> xpath: //span[@id='password.errors']]
2020-04-27 14:04:43 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 14:04:799 INFO  HomePage :56 - Clicking on council tax button Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='widget-row widget-row--flush widget-row--full-width']//a[2]'
2020-04-27 14:04:902 INFO  CouncilTaxPage :23 - Getting council tax message [[ChromeDriver: chrome on WINDOWS (ec1a0c4196b8e39a08f36e73ea56a3a9)] -> class name: page-heading]
2020-04-27 14:04:372 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 14:04:167 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 14:04:686 INFO  HomePage :38 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 14:04:883 INFO  LoginPage :66 - Getting Login Text [[ChromeDriver: chrome on WINDOWS (f5209d3742f70c8b81bd7ae27622f719)] -> xpath: //h2[contains(text(),'Log in')]]
2020-04-27 14:04:404 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 14:04:936 INFO  HomePage :38 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 14:04:01 INFO  LoginPage :48 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (375243c677d9c8402fb0a82ca1c4a81c)] -> xpath: //input[@id='username-input']]
2020-04-27 14:04:267 INFO  LoginPage :54 - Entering Password On Password Field [[ChromeDriver: chrome on WINDOWS (375243c677d9c8402fb0a82ca1c4a81c)] -> xpath: //input[@id='password-input']]
2020-04-27 14:04:198 INFO  LoginPage :61 - Clicking on Login Button [[ChromeDriver: chrome on WINDOWS (375243c677d9c8402fb0a82ca1c4a81c)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-27 14:04:238 INFO  LoginPage :72 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (375243c677d9c8402fb0a82ca1c4a81c)] -> xpath: //span[@id='password.errors']]
2020-04-27 14:04:138 INFO  BrowserSelector :22 - Launching chrome browser
2020-04-27 14:04:526 INFO  HomePage :38 - Clicking on login button Proxy element for: DefaultElementLocator 'By.className: icon-fallback'
2020-04-27 14:04:05 INFO  LoginPage :48 - Entering Email id On Email Field [[ChromeDriver: chrome on WINDOWS (617cc053605e4cbee81b1ed6306e0652)] -> xpath: //input[@id='username-input']]
